INFO: Factory.h(75) Class registered: RotateComponent
INFO: Factory.h(75) Class registered: ModelComponent
INFO: Factory.h(75) Class registered: LightComponent
INFO: Factory.h(75) Class registered: EnginePhysicsComponent
INFO: Factory.h(75) Class registered: CameraController
INFO: Factory.h(75) Class registered: CameraComponent
INFO: Factory.h(75) Class registered: Actor
INFO: Main.cpp(21) Initialize Engine...
WARNING: Texture.cpp(76) Could not create surface: textures/lava_diffuse.bmp
WARNING: ResourceManager.h(63) Could not create resource: textures/lava_diffuse.bmp
WARNING: Texture.cpp(76) Could not create surface: textures/lava_specular.bmp
WARNING: ResourceManager.h(63) Could not create resource: textures/lava_specular.bmp
WARNING: Texture.cpp(76) Could not create surface: textures/lava_emissive.bmp
WARNING: ResourceManager.h(63) Could not create resource: textures/lava_emissive.bmp
WARNING: Program.cpp(165) Could not find uniform location: lights[0].type
WARNING: Program.cpp(165) Could not find uniform location: lights[0].position
WARNING: Program.cpp(165) Could not find uniform location: lights[0].direction
WARNING: Program.cpp(165) Could not find uniform location: lights[0].color
WARNING: Program.cpp(165) Could not find uniform location: lights[0].intensity
WARNING: Program.cpp(165) Could not find uniform location: lights[0].range
WARNING: Program.cpp(165) Could not find uniform location: lights[0].innerAngle
WARNING: Program.cpp(165) Could not find uniform location: lights[0].outerAngle
WARNING: Program.cpp(165) Could not find uniform location: numLights
WARNING: Program.cpp(165) Could not find uniform location: ambientLight
WARNING: Program.cpp(165) Could not find uniform location: material.params
WARNING: Program.cpp(165) Could not find uniform location: material.albedo
WARNING: Program.cpp(165) Could not find uniform location: material.specular
WARNING: Program.cpp(165) Could not find uniform location: material.emissive
WARNING: Program.cpp(165) Could not find uniform location: material.shininess
WARNING: Program.cpp(165) Could not find uniform location: material.tiling
WARNING: Program.cpp(165) Could not find uniform location: material.offset
